,Unnamed: 0,Author,Published,Comment,Likes,Dislikes,Article,Keyword,Year,Month,Day,Sentiment
4,4,'Wellington Oliveira,2016-05-06T11:05:33,ets visitam terra nada s pr prios humanos futuro uns mil anos pra frente l j podem viajar universo voltar tempo,39,11,Nasa apresenta robÃƒÂ´ humanoide \'astronauta\',NASA;;;;;;;;;;;;;;;;;',2016,5,6,Negative
10,10,'Comentador,2016-05-06T12:35:12,j est construindo rob matar todas pessoas fome planeta resolvendo assim problema,17,1,Nasa apresenta robÃƒÂ´ humanoide \'astronauta\',NASA;;;;;;;;;;;;;;;;;',2016,5,6,Negative
13,13,'Gabriel Zanon, 10 Set 2013 13:06:37,anailton joeberger verdade cara quer pagar palha nome piloto acerta kkkkkk,0,0,Nasa lanÃƒÂ§a perfil no Instagram,NASA;;;;;;;;;;;;;;;;;',2013,10,18,Negative
27,27,'Sara Pavan,2011-11-04T11:02:23,sim chegando falta dias virada ano nisso acho pessoas acreditam fim mundo deveriam cometer suic dio assim mundo acabaria assim comprova teoria maluca mundo restariam pessoas legais sigam dica obrigada,0,0,Nasa registra mancha solar gigante,NASA;;;;;;;;;;;;;;;;;',2011,11,4,Negative
30,30,'Willian F,2011-11-07T15:22:14,pessoas confundem manchas solares sinais fim mundo g deveria fazer sequ ncia reportagens explicando causas manchas erup es solares mostrar rela campo magn tico ciclos assim pessoas estariam informadas evitariam rumores apocal pticos,0,0,Nasa registra mancha solar gigante,NASA;;;;;;;;;;;;;;;;;',2011,11,7,Negative
34,34,'Everaldo Rosario,2011-11-04T11:36:15,fim,0,0,Nasa registra mancha solar gigante,NASA;;;;;;;;;;;;;;;;;',2011,11,4,Negative
35,35,'Orlando Xavier,2011-11-04T11:33:08,fim mundo exagero maximo solar vai acontecer realidade todo ano mundo acabara milhares pessoas quanto evento s deus sabe dia,0,0,Nasa registra mancha solar gigante,NASA;;;;;;;;;;;;;;;;;',2011,11,4,Negative
36,36,'Anna Morais,2011-11-04T12:59:34,universo tudo nele h ciclos planeta terra sol s estudados h tempo sabemos hist ria povos antigos conseguiram ter relativos avan nesses estudos profecias relacionadas eventos catastr ficos basearam nessas informa es podemos observar sempre dito profecia est relacionado algo ci ncia explica fen menos natureza ciclos,0,0,Nasa registra mancha solar gigante,NASA;;;;;;;;;;;;;;;;;',2011,11,4,Negative
42,42,'Rivail GonÃƒÂ§alves,2011-11-04T17:49:36,deus vamos todos morrer vamos todos morrer,0,0,Nasa registra mancha solar gigante,NASA;;;;;;;;;;;;;;;;;',2011,11,4,Negative
43,43,'Gustavo Pimentel,2011-11-04T17:17:50,sinais tempos aviso porque sabemos toda cria geme est juntamente dores parto at agora romanos,0,0,Nasa registra mancha solar gigante,NASA;;;;;;;;;;;;;;;;',2011,11,4,Negative
45,45,'Osmar JÃƒÂºnior,2011-11-04T14:17:07,superinteressante ano publicou pesquisa diz haver erup sol onde afetara magneticamente terra,0,0,Nasa registra mancha solar gigante,"NASA"";;;;;;;;;;;;;;;;'",2011,11,4,Negative
48,48,'Nelson Moreira,2011-11-05T11:16:56,sinal fim tempos,0,0,Nasa registra mancha solar gigante,NASA;;;;;;;;;;;;;;;;;',2011,11,5,Negative
51,51,'Lucas Petrini,2011-11-04T11:26:38,ocorrer maior apocalipse zumbi todos tempos,0,0,Nasa registra mancha solar gigante,NASA;;;;;;;;;;;;;;;;;',2011,11,4,Negative
61,61,'Evandro Santos,2014-04-08T00:31:02,todas mol culas c lulas bact rias toda abund ncia coisas constituem corpo s feitas mim tamb m feito todas coisas constituem planeta terra vez constitu abund ncia coisas constitui universo exist ncia n fim,3,1,Nasa capta poderosa erupÃƒÂ§ÃƒÂ£o no Sol,NASA;;;;;;;;;;;;;;;;;',2014,4,8,Negative
64,64,'Walter Souza,2014-04-02T19:08:20,interessante sempre vem mat ria envolvendo emc gente j fala fim mundo m coisa corriqueira normal poucos nenhum dano causa vida terra sim maravilhosas auroras boreais austrais menos pode observ las claro,7,4,Nasa capta poderosa erupÃƒÂ§ÃƒÂ£o no Sol,NASA;;;;;;;;;;;;;;;;;',2014,4,2,Negative
65,65,'Walter Souza,2014-04-03T13:10:42,william voc disse s poderia ser evitado campo magn tico intenso gerado artificialmente sat lite terra enorme campo magn tico voc j sabe ent n h perigo nenhum voc confirmou disse grato,0,0,Nasa capta poderosa erupÃƒÂ§ÃƒÂ£o no Sol,NASA;;;;;;;;;;;;;;;;;',2014,4,3,Negative
