,Unnamed: 0,Author,Published,Comment,Likes,Dislikes,Article,Keyword,Year,Month,Day,Sentiment
2,2,'Rodrigo Braga,2016-05-06T13:43:52,kkkkkk posso ir levo super nintendo prometo,20,1,Nasa apresenta robÃƒÂ´ humanoide \'astronauta\',NASA;;;;;;;;;;;;;;;;;',2016,5,6,Positive
3,3,'Tucanofdp,2016-05-06T14:12:40,voc ser bem vindo rodrigo n s sobreviventes rdua batalha contra m quinas super nintendo pode ajudar contra ataque honraaaaaa,15,0,Nasa apresenta robÃƒÂ´ humanoide \'astronauta\',NASA;;;;;;;;;;;;;;;;;',2016,5,6,Positive
5,5,'Marcele Veiga,2016-05-06T11:18:17,engano m ximo hierarquia celeste ser humano pois lindos bel ssimos deuses criadore ets s passado,2,33,Nasa apresenta robÃƒÂ´ humanoide \'astronauta\',NASA;;;;;;;;;;;;;;;;;',2016,5,6,Positive
11,11,'Comentador,2016-05-06T10:22:59,pois ficou parecendo mistura v rios personagens japoneses homem ferro,12,0,Nasa apresenta robÃƒÂ´ humanoide \'astronauta\',NASA;;;;;;;;;;;;;;;;;',2016,5,6,Positive
24,24,'LisÃƒÂ©rgico D,2011-11-04T10:47:28,previsto nasa maior atividade solar ltimos tempos,0,0,Nasa registra mancha solar gigante,NASA;;;;;;;;;;;;;;;;;',2011,11,4,Positive
44,44,'Caio Oliveira,2011-11-04T14:40:28,nasa previu maximo solar teorias nada haver alguma d vida pesquise sites confi veis evento grandes propor es ja aconteceu s n afetou vida pessoas porque n havia equipamentos eletronicos poucas redes eletricas telegrafos epoca seriamente afetadas hoje ja tecnologia pra prever acontecimentos ainda n suficiente quanto tempo antecedencia,0,0,Nasa registra mancha solar gigante,NASA;;;;;;;;;;;;;;;;;',2011,11,4,Positive
50,50,'Valdemar Junior,2011-11-04T11:32:11,verdade acontece diariamente n tanta intensidade imediato pode provocar apag es sat llites sistema locais r dio podem ser ouvidas lonnngas dist ncias tudo provocada explos es puro fen meno natureza,0,0,Nasa registra mancha solar gigante,NASA;;;;;;;;;;;;;;;;;',2011,11,4,Positive
52,52,'Josiane Souza,2011-11-04T11:20:35,s natureza precisa ser tolo pra acreditar mundo acaba acabar sim ainda resta algumas centenas anos rsrsrsrs,0,0,Nasa registra mancha solar gigante,NASA;;;;;;;;;;;;;;;;;',2011,11,4,Positive
53,53,'Alexandre Alux,2013-06-18T14:50:13,olhem detalhe not cia tyler hague anos coronel rea especializado artefatos explosivos improvisados ser nasa planeja explodir parte asteroide algo tipo,0,0,Nasa nomeia oito novos astronautas,NASA;;;;;;;;;;;;;;;;;',2013,6,18,Positive
54,54,'Carlos Daves,2014-04-02T12:42:17,est investindo bilh es programas explora espacial exemplo projeto empresa holandesa mars one vai arrecadar cerca r bilh es levar alguns cobaias marte n quero alarmar j sabe vig ncia terra est expirar ent voc n quer ser cobaia quiser n selecionado pergunta ser feita h agora poder defender,11,22,Nasa capta poderosa erupÃƒÂ§ÃƒÂ£o no Sol,NASA;;;;;;;;;;;;;;;;;',2014,4,2,Positive
